Date_time,Tidal_height
1/1/2023 0:00,10.493
1/1/2023 0:06,10.574
1/1/2023 0:12,10.65
1/1/2023 0:18,10.72
1/1/2023 0:24,10.784
1/1/2023 0:30,10.843
1/1/2023 0:36,10.896
1/1/2023 0:42,10.943
1/1/2023 0:48,10.984
1/1/2023 0:54,11.019
1/1/2023 1:00,11.049
1/1/2023 1:06,11.073
1/1/2023 1:12,11.092
1/1/2023 1:18,11.105
1/1/2023 1:24,11.113
1/1/2023 1:30,11.115
1/1/2023 1:36,11.113
1/1/2023 1:42,11.105
1/1/2023 1:48,11.093
1/1/2023 1:54,11.076
1/1/2023 2:00,11.055
1/1/2023 2:06,11.03
1/1/2023 2:12,11.001
1/1/2023 2:18,10.967
1/1/2023 2:24,10.931
1/1/2023 2:30,10.89
1/1/2023 2:36,10.847
1/1/2023 2:42,10.8
1/1/2023 2:48,10.751
1/1/2023 2:54,10.699
1/1/2023 3:00,10.644
1/1/2023 3:06,10.587
1/1/2023 3:12,10.528
1/1/2023 3:18,10.468
1/1/2023 3:24,10.405
1/1/2023 3:30,10.341
1/1/2023 3:36,10.276
1/1/2023 3:42,10.21
1/1/2023 3:48,10.144
1/1/2023 3:54,10.077
1/1/2023 4:00,10.009
1/1/2023 4:06,9.942
1/1/2023 4:12,9.875
1/1/2023 4:18,9.809
1/1/2023 4:24,9.744
1/1/2023 4:30,9.681
1/1/2023 4:36,9.619
1/1/2023 4:42,9.559
1/1/2023 4:48,9.502
1/1/2023 4:54,9.447
1/1/2023 5:00,9.396
1/1/2023 5:06,9.348
1/1/2023 5:12,9.304
1/1/2023 5:18,9.265
1/1/2023 5:24,9.229
1/1/2023 5:30,9.199
1/1/2023 5:36,9.174
1/1/2023 5:42,9.155
1/1/2023 5:48,9.142
1/1/2023 5:54,9.134
1/1/2023 6:00,9.133
1/1/2023 6:06,9.139
1/1/2023 6:12,9.151
1/1/2023 6:18,9.17
1/1/2023 6:24,9.196
1/1/2023 6:30,9.229
1/1/2023 6:36,9.269
1/1/2023 6:42,9.316
1/1/2023 6:48,9.369
1/1/2023 6:54,9.43
1/1/2023 7:00,9.497
1/1/2023 7:06,9.571
1/1/2023 7:12,9.651
1/1/2023 7:18,9.737
1/1/2023 7:24,9.829
1/1/2023 7:30,9.926
1/1/2023 7:36,10.029
1/1/2023 7:42,10.136
1/1/2023 7:48,10.247
1/1/2023 7:54,10.363
1/1/2023 8:00,10.483
1/1/2023 8:06,10.605
1/1/2023 8:12,10.731
1/1/2023 8:18,10.859
1/1/2023 8:24,10.989
1/1/2023 8:30,11.121
1/1/2023 8:36,11.254
1/1/2023 8:42,11.388
1/1/2023 8:48,11.523
1/1/2023 8:54,11.658
1/1/2023 9:00,11.792
1/1/2023 9:06,11.926
1/1/2023 9:12,12.059
1/1/2023 9:18,12.191
1/1/2023 9:24,12.321
1/1/2023 9:30,12.45
1/1/2023 9:36,12.576
1/1/2023 9:42,12.7
1/1/2023 9:48,12.822
1/1/2023 9:54,12.94
1/1/2023 10:00,13.056
1/1/2023 10:06,13.167
1/1/2023 10:12,13.276
1/1/2023 10:18,13.38
1/1/2023 10:24,13.48
1/1/2023 10:30,13.575
1/1/2023 10:36,13.666
1/1/2023 10:42,13.752
1/1/2023 10:48,13.832
1/1/2023 10:54,13.907
1/1/2023 11:00,13.976
1/1/2023 11:06,14.039
1/1/2023 11:12,14.096
1/1/2023 11:18,14.146
1/1/2023 11:24,14.19
1/1/2023 11:30,14.226
1/1/2023 11:36,14.255
